,filename,prediction
0,samurott,Fire
1,phanpy,Water
2,golem,Bug
3,skuntank,Normal
4,ampharos,Normal
5,mimikyu,Poison
6,diancie,Poison
7,throh,Fairy
8,pikipek,Normal
9,chingling,Grass
10,amaura,Bug
11,seel,Bug
12,nidorina,Ground
13,zebstrika,Grass
14,ponyta,Water
15,xerneas,Rock
16,tropius,Fire
17,mothim,Normal
18,beldum,Water
19,mantine,Ghost
20,vullaby,Electric
21,grumpig,Fighting
22,furret,Normal
23,swablu,Normal
24,tepig,Ice
25,azumarill,Water
26,murkrow,Normal
27,lumineon,Rock
28,garchomp,Grass
29,zweilous,Grass
30,dusknoir,Normal
31,leafeon,Bug
32,vanilluxe,Water
33,mime-jr,Fairy
34,celebi,Electric
35,fearow,Water
36,haunter,Water
37,probopass,Water
38,maractus,Normal
39,klang,Grass
40,wobbuffet,Psychic
41,weavile,Dark
42,gabite,Dark
43,omanyte,Psychic
44,mareanie,Bug
45,hitmonchan,Bug
46,sliggoo,Normal
47,munna,Ice
48,giratina-altered,Ice
49,charizard,Water
50,togetic,Ground
51,squirtle,Normal
52,metang,Normal
53,shinx,Rock
54,toxapex,Psychic
55,clefable,Water
56,cacturne,Dark
57,bidoof,Normal
58,surskit,Psychic
59,electrode,Bug
60,shelmet,Normal
61,ninjask,Normal
62,cradily,Bug
63,skiddo,Electric
64,deerling,Bug
65,palpitoad,Poison
66,ariados,Water
67,huntail,Psychic
68,elgyem,Grass
69,cosmoem,Normal
70,foongus,Rock
71,teddiursa,Water
72,palkia,Water
73,vivillon,Grass
74,wigglytuff,Water
75,boldore,Steel
76,chinchou,Steel
77,tentacruel,Fire
78,slaking,Water
79,chikorita,Normal
80,espeon,Bug
81,honedge,Electric
82,kommo-o,Bug
83,excadrill,Bug
84,volbeat,Water
85,stantler,Psychic
86,comfey,Poison
87,phione,Psychic
88,infernape,Dragon
89,sandile,Dragon
90,lickitung,Ground
91,vespiquen,Water
92,poochyena,Dark
93,feebas,Normal
94,jynx,Grass
95,ducklett,Psychic
96,bayleef,Rock
97,smeargle,Ghost
98,fletchinder,Psychic
99,swellow,Water
100,genesect,Ghost
101,aipom,Water
102,umbreon,Grass
103,gallade,Grass
104,volcarona,Fire
105,swinub,Water
106,stakataka,Fire
107,prinplup,Psychic
108,doduo,Electric
109,slakoth,Rock
110,escavalier,Ground
111,marill,Water
112,scizor,Fighting
113,venonat,Ground
114,golurk,Fire
115,carvanha,Grass
116,raticate,Rock
117,hoopa-confined,Psychic
118,paras,Water
119,mudsdale,Ice
120,diglett,Normal
121,shellos,Bug
122,ralts,Grass
123,servine,Steel
124,nidoking,Psychic
125,milotic,Bug
126,chansey,Ground
127,popplio,Ground
128,lapras,Dark
129,lickilicky,Dark
130,durant,Bug
131,hakamo-o,Dark
132,pansear,Bug
133,drampa,Water
134,darmanitan-standard,Normal
135,vileplume,Bug
136,steenee,Fire
137,politoed,Fire
138,mudkip,Bug
139,gothitelle,Grass
140,bellsprout,Steel
141,gulpin,Rock
142,goomy,Dragon
143,ditto,Dragon
144,pineco,Fairy
145,stunfisk,Rock
146,litten,Psychic
147,delphox,Fire
148,mandibuzz,Water
149,delibird,Normal
150,wishiwashi-solo,Water
151,keldeo-ordinary,Poison
152,hippopotas,Poison
153,azelf,Ground
154,meloetta-aria,Grass
155,snivy,Fairy
156,sunkern,Ghost
157,kricketot,Normal
158,manectric,Dragon
159,weedle,Dragon
160,archeops,Psychic
161,tyranitar,Rock
